#Date: 9 June 2021
#Data extracted from tr20271121628.hld file
#T1(TRB=2) / T3(TRB=0) / T4(TRB=1)
#nEvent nTRB row col time(ns) charge(ns)
28 0 8 9 3813.88 424.126 
28 1 7 9 3816.56 39.8305 
29 2 5 10 3813.21 156.503 
29 2 5 11 3812.14 1763.65 
29 2 4 10 3813.03 664.626 
29 2 6 9 3811.99 1263.52 
29 0 5 10 3815.32 165.406 
29 1 5 11 3818.75 3074.98 
29 1 6 11 3819.35 72.4201 
30 2 9 12 3810.54 713.959 
30 0 9 12 3814.3 389.89 
30 1 9 11 3817.13 468.714 
31 2 2 1 3808.11 725.084 
31 0 4 4 3812.75 696.933 
31 1 5 6 3815.64 147.338 
32 2 3 8 4419.61 353.299 
32 2 4 1 3808.74 572.362 
32 0 5 4 3813.34 1290.41 
32 1 6 7 3817.28 280.005 
33 2 10 4 3809.62 1012.71 
33 0 9 5 3775.44 703.289 
33 1 8 5 3777.85 849.765 
34 2 9 11 3815.26 5467.07 
34 2 8 11 3816.17 71.9045 
34 0 7 12 4032.14 78.9552 
34 0 7 10 3819.3 667.54 
34 1 5 9 3822.48 370.076 
35 2 1 9 3804.98 652.093 
35 0 3 7 3809.28 210.904 
35 1 5 4 3812.48 1138.62 
36 2 6 2 3815.21 534.876 
36 0 3 11 3814.49 217.175 
36 1 6 9 3818.42 401.983 
37 2 1 2 3808.11 5112.4 
37 0 2 5 3812.32 1248.24 
37 1 2 9 3816.06 2042.69 
37 1 2 10 3815.64 27.3532 
37 1 2 11 3815.66 3272.97 
37 1 1 2 3524.89 361.609 
38 2 6 4 3810.43 258.683 
38 2 5 4 3810.85 215.443 
38 0 8 3 3776.68 181.447 
38 1 9 2 3780.24 481.112 
39 2 6 12 3806.13 3234.4 
39 2 6 10 3806.83 1355.51 
39 0 4 6 3811.19 645.863 
39 1 2 2 3814.57 392.772 
40 2 7 7 3808.97 226.998 
40 0 7 8 3811.48 374.844 
40 1 7 8 3814.97 167.777 
40 1 7 7 3814.39 21.9396 
41 2 1 9 3804.03 683.609 
41 0 2 7 3807.82 705.303 
41 1 2 4 3811.21 656.692 
42 2 8 8 3809.56 859.951 
42 0 5 8 3812.89 311.46 
42 0 4 10 3814.16 599.64 
42 0 6 9 3813.71 317.141 
42 1 3 8 3818.09 110.138 
42 1 7 9 3819.24 262.269 
43 2 9 5 3812.24 759.734 
43 0 9 3 3405.45 210.176 
43 0 10 3 3405.05 932.724 
43 1 10 2 3407.19 564.638 
44 2 5 1 3810.87 236.957 
44 2 5 2 3810.26 1757.47 
44 0 6 1 3403.07 8.88021 
44 1 6 1 3406.63 282.047 
44 1 7 1 3404.03 3.98438 
45 2 8 12 3809.99 810.229 
45 0 6 11 3814.25 168.188 
45 1 3 10 3817.49 476.63 
46 2 2 6 3808.66 937.668 
46 0 3 5 3812.72 540.826 
46 1 4 4 3815.72 815.234 
47 2 6 11 3810.03 3497.01 
47 0 4 9 3814.19 415.695 
47 1 1 4 3818.36 141.93 
48 2 1 5 3809.63 923.936 
48 0 2 5 3813.62 498.165 
48 1 2 8 3816.76 46.408 
49 2 9 9 3809.58 780.962 
49 2 9 8 3809.22 779.429 
49 0 7 7 3813.33 504.286 
49 0 8 6 3817.1 374.013 
49 1 6 5 3816.27 172.575 
49 1 7 5 3816.37 673.95 
49 1 7 3 3778.91 1302.94 
50 2 10 9 3811.49 1309.9 
50 0 8 9 3814.31 330.006 
50 1 7 9 3817.22 372.629 
51 2 1 5 3809.38 1828.36 
51 0 2 4 3813.08 1278.16 
51 1 3 3 3816.07 235.361 
52 2 3 2 3809.1 256.974 
52 0 4 6 3813.22 2365.78 
52 1 5 9 3816.95 298.862 
52 1 10 6 4014.89 228.249 
53 2 3 9 3808.44 1228.31 
53 0 4 6 3813.82 431.929 
53 1 5 3 3816.75 1374.28 
54 2 6 12 3809.29 874.728 
54 0 4 10 3813.66 102.822 
54 1 2 9 3816.71 1086.5 
55 2 5 12 3806.96 78.5973 
55 0 4 10 3810.45 238.116 
55 1 3 8 3813.85 277.424 
56 2 7 9 3810.57 575.034 
56 0 6 10 3814.74 123.683 
56 1 4 12 3817.88 467.306 
57 2 1 8 3804.97 360.632 
57 0 3 8 3809.11 230.424 
57 0 3 9 3809.48 290.792 
57 1 5 7 3812.48 211.959 
58 2 6 9 3818.96 768.317 
58 2 4 2 3820.3 581.431 
58 0 6 8 3822.21 185.847 
58 1 6 7 3825.2 117.354 
59 2 5 11 3806.27 217.436 
59 0 4 10 3810.06 85.7384 
59 1 3 8 3812.58 641.993 
60 2 3 1 3812.2 15.1758 
60 2 5 1 3810.54 143.148 
60 0 6 1 3403.88 36.1587 
60 0 7 6 2239.33 84.6928 
60 1 6 1 3407.27 264.005 
61 2 1 5 3809.01 1152.39 
61 0 2 4 3812.53 884.325 
61 1 3 3 3815.9 378.218 
62 2 6 10 3807.37 1283.89 
62 0 8 10 3776.77 276.984 
62 1 10 10 3779.23 334.987 
63 2 1 3 3809.53 917.59 
63 0 1 7 3813.12 474.943 
63 0 1 6 3812.98 3074.26 
63 1 1 10 3816.71 1722.09 
64 2 2 5 3812.06 1035.54 
64 0 4 5 3817.22 267.221 
64 0 4 6 3816.4 250.343 
64 1 5 6 3818.91 448.422 
65 2 2 10 3805.38 1100.3 
65 0 3 10 3808.78 274.67 
65 1 3 10 3812.38 338.326 
66 2 3 9 3807.95 1769.86 
66 0 4 10 3811.27 452.281 
66 1 5 11 3814.08 522.876 
67 2 9 2 3809.68 441.217 
67 0 9 2 3400.87 864.193 
67 1 8 2 3404.1 531.81 
68 2 2 5 3808.35 814.572 
68 0 3 7 3812.57 54.3577 
68 1 5 8 3815.99 542.095 
69 2 6 7 3806.19 619.387 
69 0 4 6 3810.39 368.54 
69 1 2 5 3812.95 462.301 
70 2 3 2 3808.59 1855.84 
70 0 3 5 3812.53 72.2557 
70 1 3 7 3816.22 478.03 
71 2 9 9 3806.45 327.886 
71 0 7 9 3809.01 156.725 
71 1 6 9 3812.19 806.414 
72 2 6 6 3808.3 1651.32 
72 0 6 5 3812.45 104.128 
72 1 5 4 3815.89 1018.79 
73 2 8 9 3807.71 941.097 
73 0 9 10 3775.69 165.749 
73 1 10 11 3779.22 431.751 
73 1 3 2 3522.34 80.1431 
74 2 5 10 3804.76 370.78 
74 0 5 11 3809.09 198.274 
74 1 3 10 3812.37 541.72 
75 2 7 9 3808.18 217.712 
75 0 9 9 4300.71 131.246 
75 0 6 9 3811.37 156.626 
75 1 5 10 3814.41 43.1399 
75 1 4 12 3815.43 296.326 
75 1 6 8 3814.75 445.414 
76 2 4 2 3807.3 524.606 
76 0 5 4 3812.18 597.977 
76 1 6 5 3815.03 323.958 
77 2 3 12 3807.23 1228.95 
77 0 3 10 3810.48 219.145 
77 1 2 8 3813.61 136.293 
78 2 3 2 3808.87 557.699 
78 2 4 4 3808.77 393.568 
78 0 5 9 3812.23 231.709 
78 1 6 10 3815.64 85.4836 
79 2 9 9 3808.45 361.454 
79 0 7 8 3811.72 708.23 
79 0 6 8 3812.03 220.603 
79 1 4 7 3815.03 280.396 
80 2 6 9 3805.78 355.937 
80 0 6 10 3809.91 241.726 
80 1 5 11 3812.67 201.606 
81 2 5 3 3809.82 1010.17 
81 0 5 4 3813.3 927.178 
81 1 5 5 3816.99 45.8489 
82 2 4 5 3808.55 194.466 
82 0 4 5 3811.02 344.033 
82 1 3 5 3814.67 1044.15 
83 2 6 8 3805.6 945.344 
83 0 4 9 3809.63 383.983 
83 1 2 10 3813.1 2156.25 
84 2 5 11 3807.87 1010.77 
84 0 5 10 3812.37 253.658 
84 1 5 9 3815.16 676.275 
85 2 3 11 3809.67 702.679 
85 0 5 7 3813.08 339.959 
85 1 7 6 3816.67 316.182 
86 2 10 1 3809.88 757.2 
86 0 10 4 3777.13 486.949 
86 0 10 3 3209.74 532.919 
86 1 10 7 3780.77 1115.43 
87 2 6 1 3808.23 501.14 
87 0 7 3 3775.19 181.418 
87 1 8 5 3778.01 578.006 
88 2 8 5 3810.54 745.501 
88 0 7 4 3777.08 166.619 
88 1 3 11 3819.17 149.376 
88 1 7 3 3779.31 2503.42 
89 2 2 12 3810.28 1184.79 
89 0 5 8 3815.27 154.037 
89 1 7 7 3817.9 190.672 
90 2 2 3 3807.41 966.232 
90 0 3 7 3810.72 84.9126 
90 1 3 10 3814.54 296.923 
91 2 6 5 3806.4 700.622 
91 0 6 5 3810.67 228.014 
91 1 6 5 3813.62 115.427 
92 0 2 10 3812.01 371.034 
92 1 2 9 3815.66 1691.06 
93 2 3 3 3811.73 407.64 
93 0 7 4 3777.73 213.541 
93 1 10 4 3781.55 685.727 
93 1 10 3 3779.92 10.9621 
94 2 3 2 3811.3 1097.72 
94 0 4 4 3815.26 618.644 
94 1 5 7 3818.59 296.47 
95 2 7 11 3814.64 1009.69 
95 0 7 11 3818.5 993.885 
95 1 7 11 3821.82 290.329 
96 2 2 8 3807 1639.79 
96 0 2 5 3810.77 202.6 
96 1 2 4 3813.89 402.025 
97 2 9 12 3811.53 523.661 
97 2 8 12 3811.38 201.733 
97 0 6 10 3815.49 207.679 
97 1 4 7 3818.82 417.298 
98 2 6 10 3809.8 1245.66 
98 0 7 11 3813.75 803.596 
98 1 8 11 3816.67 312.087 
99 2 10 11 3812.12 1075.45 
99 0 6 9 3816.44 234.409 
99 1 2 6 3820.16 268.206 
100 2 7 3 3814.06 1329.97 
100 0 8 7 3818.23 143.573 
100 1 8 11 3821.65 483.447 
101 2 7 6 3810.94 288.974 
101 0 5 4 3815.82 276.077 
101 1 4 2 3818.52 1771.48 
101 1 5 2 3819.77 694.511 
102 2 6 6 3818.97 663.087 
102 0 7 9 3822.37 81.572 
102 1 7 12 3825.32 129.01 
103 2 8 10 3808.74 257.27 
103 0 6 8 3812.61 137.66 
103 1 5 6 3816.06 656.747 
104 2 3 4 3809.1 772.591 
104 0 5 7 3812.77 218.116 
104 1 7 11 3815.78 129.403 
105 2 3 11 3810.65 1722.05 
105 0 7 11 3813.74 311.552 
105 1 9 12 3817.4 645.444 
106 2 7 9 3807.93 495.122 
106 0 5 9 3811.74 145.597 
106 1 4 5 3814.77 191.198 
107 2 4 1 3810.23 336.193 
107 0 4 3 3814.48 1036.65 
107 1 3 4 3817.5 399.931 
108 2 7 12 3813.45 917.062 
108 2 6 11 3813.32 838.24 
108 0 7 10 3818.42 384.308 
108 1 8 8 3819.77 2426.9 
108 1 8 7 3799.63 112.254 
108 1 7 8 3820.65 226.046 
108 1 7 7 3820.55 35.5073 
108 1 9 6 3786.11 316.326 
109 2 1 4 3809.45 1892.33 
109 0 2 5 3812.69 1000.65 
109 1 2 8 3815.99 726.355 
110 2 4 11 3809.11 361.427 
110 0 4 10 3811.98 296.175 
110 1 4 8 3815.81 339.946 
111 2 4 10 3810.39 1658.51 
111 0 5 7 3814.43 214.301 
111 1 6 5 3817.59 387.024 
111 1 7 5 3817.65 988.488 
112 2 7 10 3807.69 161.888 
112 0 8 11 3774.76 172.108 
112 1 8 12 3777.36 300.085 
113 2 6 1 3812.55 702.283 
113 0 5 3 3816.68 1346.49 
113 1 3 5 3819.97 401.557 
114 2 6 5 3810.82 612.443 
114 0 3 1 4302.01 674.55 
114 0 4 5 3814.7 211.279 
114 1 3 4 3817.23 267.684 
115 2 1 5 3812.91 2804.25 
115 0 2 4 3816.48 984.672 
115 1 2 8 3787.18 299.755 
115 1 2 2 3819.49 732.73 
116 2 1 8 3812.39 421.43 
116 2 1 2 3813.54 16.5289 
116 2 3 1 3813.76 10.5919 
116 0 3 8 3816.39 131.887 
116 0 2 8 3891.74 88.7601 
116 0 2 3 3815.83 2290.66 
116 1 4 1 3819.53 344.191 
116 1 5 2 3820.39 1270.11 
117 2 9 12 3810.38 2061.56 
117 0 8 9 3813.9 862.678 
117 1 6 6 3817.79 307.821 
118 2 1 5 3807.75 183.713 
118 0 4 6 3812.76 922.862 
118 1 7 6 3815.66 475.222 
119 2 3 9 3809.41 2631.94 
119 2 3 10 3809.61 1732.34 
119 0 5 7 3813.12 130.846 
119 1 6 4 3816.55 120.594 
119 1 6 3 3817.42 544.067 
119 1 6 2 3815.47 45.4259 
119 1 7 3 3779.21 1663.7 
120 2 5 2 3810.6 1136.44 
120 0 4 8 3815.27 164.279 
120 1 4 11 3818.7 441.189 
121 2 8 11 3808.67 1017.61 
121 0 6 11 3813.47 168.188 
121 1 3 10 3816.05 816.303 
122 2 7 8 3806.88 939.718 
122 0 8 8 3809.92 252.693 
122 1 8 8 3813.33 70.9171 
122 1 7 8 3813.11 13.7464 
123 2 6 9 3807.7 1014.83 
123 0 3 10 3811.92 370.74 
123 1 2 10 3814.67 3462.99 
124 2 8 7 3805.3 248.093 
124 0 4 5 3809.85 405.85 
124 1 1 3 3813.22 328.74 
125 2 9 6 3818.79 431.807 
125 0 9 7 3786.36 665.348 
125 1 9 8 3808.88 790.9 
125 1 9 7 3789.14 30.3202 
125 1 8 8 3826.28 57.7607 
126 2 3 6 3814.54 857.024 
126 0 2 6 3818.4 192.748 
126 0 3 5 3818.03 222.636 
126 1 6 3 3820.67 467.387 
127 2 6 4 3807.5 1718.41 
127 2 5 4 3807.96 412.411 
127 0 4 5 3812.63 504.599 
127 1 2 5 3815.02 474.114 
128 2 6 6 3811.56 1341.03 
128 0 5 7 3815.51 248.134 
128 1 4 10 3819.01 2464.4 
129 2 2 8 3803.43 285.787 
129 0 4 10 3806.91 144.414 
129 1 5 11 3810.55 653.502 
130 2 3 7 3808.38 636.846 
130 2 3 6 3808.69 581.68 
130 0 7 5 3401.87 168.274 
130 0 7 4 3776.79 166.619 
130 1 7 1 3405.7 3.98438 
130 1 9 4 3779.63 529.05 
130 1 9 1 3800.02 0.0902041 
130 1 10 3 3779.23 4147.28 
130 1 10 1 3405.1 31.3659 
131 2 6 12 3808.97 4138.07 
131 0 4 9 3813.13 238.287 
131 1 3 8 3815.68 18.0667 
131 1 2 7 3815.66 27.0204 
131 1 2 8 3816.56 111.34 
132 2 3 6 3808.55 140.773 
132 0 4 7 3812.36 137.752 
132 1 5 7 3815.66 403.255 
132 1 7 9 4116.25 217.541 
133 2 3 11 3805.3 2381.84 
133 0 4 7 3809.7 158.091 
133 1 5 2 3813.12 1060.56 
134 2 7 9 3806.04 550.923 
134 0 5 9 3810.1 86.9849 
134 1 3 4 3813.03 234.501 
134 1 3 5 3812.93 1348.59 
135 2 4 9 3804.62 1063.13 
135 0 2 10 3808 211.854 
135 1 1 11 3811.11 403.132 
136 2 2 5 3811.15 232.189 
136 2 2 6 3810.76 3403.42 
136 0 3 7 3815.43 424.274 
136 1 4 8 3818.29 601.425 
137 2 4 9 3806.99 214.056 
137 0 6 7 3810.32 66.6691 
137 1 6 5 3814.07 289.065 
138 2 7 7 3807.52 476.122 
138 2 3 5 3810.46 114.798 
138 0 3 5 3813.63 195.756 
138 1 3 4 3817.3 461.348 
139 2 4 3 3811.82 2524.66 
139 0 5 4 3816.47 738.629 
139 1 6 5 3818.86 285.507 
140 2 2 2 3819.4 388.008 
140 0 7 9 3824.2 324.105 
140 0 4 5 3823.96 1146.17 
140 1 5 8 3826.46 279.639 
140 1 3 8 3827.86 817.433 
141 2 7 5 3809.95 402.067 
141 0 5 4 3814.87 935.534 
141 1 3 3 3817.5 165.684 
142 2 3 2 3813.46 449.566 
142 0 2 3 3816.73 636.836 
142 1 1 3 3819.21 672.963 
143 2 10 12 3809.18 1418.35 
143 0 7 7 3813.16 535.084 
143 1 4 3 3817.37 373.667 
144 2 5 7 3802.26 216.93 
144 0 6 7 3805.93 312.285 
144 1 7 8 3808.63 84.8202 
145 0 6 1 3403.34 155.485 
145 1 10 1 3406.08 302.019 
146 2 10 11 3808.89 444.778 
146 0 10 8 3773.97 74.8258 
146 1 8 4 3777.28 289.17 
147 2 2 12 3814.57 1462.64 
147 2 1 11 3813.88 535.449 
147 0 2 9 3818.25 879.243 
147 0 2 10 3818.34 227.063 
147 1 3 8 3820.48 54.0191 
147 1 4 2 3823.64 324.836 
148 2 10 5 3817.29 969.772 
148 0 6 7 3820.95 517.874 
148 1 1 9 3824.79 3428.27 
149 2 3 1 3811.48 807.327 
149 0 3 2 3815.67 674.663 
149 1 3 2 3818.96 641.922 
150 2 8 11 3808.91 1753.05 
150 0 5 11 3813.12 150.656 
150 1 1 10 3816.98 472.708 
151 2 4 12 3811.17 1028.77 
151 0 5 8 3815.28 121.185 
151 1 6 5 3818.33 5940.74 
151 1 5 5 3819.5 131.655 
152 2 3 3 3810.04 1272.53 
152 0 5 4 3813.73 1145 
152 1 6 4 3816.69 82.4048 
152 1 7 4 3817.2 212.729 
153 2 4 3 3812.53 1738.47 
153 0 3 4 3815.99 904.214 
153 1 2 6 3818.55 674.865 
154 2 9 11 3809.39 5953.85 
154 2 6 5 3808.06 798.309 
154 0 3 6 3812.92 75.6192 
154 1 1 7 3816.69 708.608 
155 2 3 11 3805.78 744.344 
155 0 5 10 3810.43 260.988 
155 1 7 9 3812.57 113.557 
156 2 6 7 3808.6 786.682 
156 0 7 10 3813.38 493.849 
156 1 9 10 3779.8 172.567 
156 1 8 11 3815.78 356.194 
156 1 7 12 3816.42 272.094 
157 2 7 8 3806.47 595.4 
157 0 5 9 3810.61 137.412 
157 1 2 5 3814.03 220.619 
158 2 8 2 3811.21 2.1734 
158 0 6 3 3793.71 2.79616 
158 0 5 3 3815.13 312.437 
158 1 3 4 3818.18 554.831 
159 2 2 7 3805.31 963.694 
159 0 2 8 3809.86 233.261 
159 1 2 8 3813.31 652.577 
160 2 4 3 3815.69 1595.82 
160 2 5 3 3816.93 208.687 
160 0 1 3 3801.62 537.934 
160 0 2 3 3820 551.108 
160 0 4 2 3819.01 419.321 
160 1 5 2 3822.78 520.101 
161 2 4 4 3810.95 253.069 
161 0 4 4 3815.34 308.177 
161 1 5 3 3817.96 891.661 
162 2 2 10 4162.88 368.617 
162 2 6 11 3807.6 2534.43 
162 2 6 8 3808.55 1229.15 
162 0 6 5 3811.79 279.493 
162 1 4 2 3815.68 1999.94 
163 2 3 5 3808.64 1241.98 
163 0 3 6 3812.49 251.69 
163 0 4 5 3567.84 521.514 
163 0 4 6 3813.33 511.366 
163 1 3 7 3815.83 229.456 
164 2 3 3 3811.73 251.009 
164 0 4 4 3816.12 265.472 
164 1 5 5 3818.78 478.617 
165 2 8 8 3808.76 729.73 
165 0 5 10 3812.35 655.464 
165 1 2 11 3815.85 1651.67 
166 2 2 6 3808.5 655.92 
166 0 2 8 3812.78 225.73 
166 1 2 9 3816.33 1199.93 
167 2 2 7 3803.15 726.02 
167 0 1 6 3806.35 670.135 
167 1 1 4 3809.51 286.936 
168 2 3 11 3809.11 543.493 
168 0 3 9 3813.15 174.508 
168 1 2 8 3816.47 464.27 
169 2 5 1 3807.39 938.315 
169 0 4 4 3812.26 391.621 
169 1 3 8 3815.88 75.9338 
170 2 8 7 3805.17 977.86 
170 0 9 7 3772.37 223.993 
170 1 10 7 3775.9 2112.6 
171 2 6 7 3806.93 578.014 
171 0 6 7 3810.27 182.922 
171 1 6 8 3813.51 472.255 
172 2 1 2 3808.19 2487.29 
172 0 4 3 3812.01 327.245 
172 1 5 5 3814.62 184.046 
173 2 4 7 3810.74 182.408 
173 2 4 5 3810.59 1899.2 
173 0 6 4 3403.38 138.874 
173 1 8 2 3405.58 57.9002 
174 2 5 4 3810.16 144.394 
174 0 7 2 3400.77 130.732 
174 1 8 1 3403.92 344.982 
175 2 4 5 3812.21 1096.58 
175 2 5 5 3812.67 913.831 
175 2 5 6 3812.63 1822.59 
175 0 6 5 3815.93 29.7672 
175 0 7 5 3405.09 396.365 
175 0 8 5 1666.66 58.6651 
175 0 8 3 3780.01 279.218 
175 1 6 4 3819.38 133.036 
175 1 8 5 3781.45 198.974 
175 1 9 4 3781.87 319.224 
176 2 4 2 3807.56 107.113 
176 2 4 3 3807.04 1353.59 
176 0 4 6 3812.74 275.85 
176 1 4 8 3814.85 22.4408 
177 2 1 11 3805.17 18.9651 
177 0 3 9 3810.93 87.7918 
177 1 4 5 3813.33 1268.57 
178 2 4 7 3803.26 471.532 
178 0 5 9 3806.15 763.42 
178 0 6 7 3807.11 49.0277 
178 1 6 8 3810.22 105.876 
178 1 6 7 3810.34 536.888 
179 2 4 5 3811.11 938.032 
179 0 3 5 3814.53 114.987 
179 1 2 4 3817.93 492.548 
180 2 9 12 3813.36 2165.85 
180 0 9 7 3780.31 91.0789 
180 1 9 2 3783.45 340.131 
181 2 6 10 3812.92 962.904 
181 2 6 9 3813.09 675.573 
181 0 7 10 3817.13 650.436 
181 1 5 11 3819.44 605.806 
181 1 7 10 3819.39 135.596 
182 2 7 7 3817.17 1204.89 
182 2 8 5 3817.07 608.305 
182 0 8 9 3821.14 316.281 
182 1 9 11 3824.97 704.229 
183 2 9 8 3807.59 611.07 
183 0 6 9 3810.85 267.595 
183 1 3 10 3813.98 103.722 
184 2 5 9 3806.18 1885.09 
184 0 3 8 3808.06 207.601 
184 1 4 11 3811.64 870.267 
185 2 2 10 3808.21 1558.06 
185 0 4 8 3812 281.656 
185 1 7 6 3815.24 454.476 
186 2 6 5 3815.68 484.718 
186 0 7 8 3818.59 197.073 
186 1 8 10 3821.48 297.631 
187 2 5 3 3808.36 684.589 
187 0 5 9 3811.84 173.763 
187 1 4 10 3815.45 299.87 
188 2 1 6 3809.5 740.318 
188 0 3 7 3812.97 418.07 
188 1 5 7 3815.46 140.668 
189 2 6 4 3809.63 675.794 
189 0 5 7 3814.31 179.332 
189 0 5 8 3815.12 74.3556 
189 1 4 12 3818.35 452.41 
190 2 7 3 3815.6 666.126 
190 0 6 8 3819.53 276.052 
190 1 5 12 3822.97 889.092 
191 2 8 8 3812.03 483.248 
191 0 6 9 3815.08 132.139 
191 0 6 8 3815.46 52.3291 
191 1 4 9 3818.63 435.416 
192 2 2 7 3804.99 1051.09 
192 0 4 8 3808.5 393.18 
192 1 5 9 3812.05 101.818 
193 2 1 2 3810.85 1329.57 
193 0 3 2 3814.28 443.514 
193 1 5 2 3817.87 626.168 
194 2 8 2 3810.71 1056.11 
194 0 8 2 3403.27 191.816 
194 1 8 1 3406.07 394.062 
195 2 1 2 3809.02 1087.82 
195 0 3 2 3812.85 565.738 
195 1 4 2 3815.58 2204.41 
196 2 1 4 3811.68 861.656 
196 0 5 9 3814.05 220.375 
196 1 8 10 3817.45 553.153 
197 2 8 9 3809.89 642.717 
197 0 6 10 3813.47 81.2899 
197 1 3 11 3817.27 473.716 
198 2 4 8 3803.44 382.277 
198 0 5 8 3807.74 385.022 
198 1 5 9 3810.58 195.28 
199 2 1 3 3810.63 523.94 
199 0 3 8 3816.82 219.075 
199 0 2 5 3814 593.553 
199 1 2 8 3817.86 753.784 
200 2 4 7 3802.97 232.407 
200 0 6 4 3395.64 190.923 
200 1 8 2 3398.17 305.336 
201 2 3 10 3808.34 823.47 
201 0 3 9 3812.24 166.541 
201 1 3 8 3815.68 229.61 
202 2 4 7 3804.55 668.336 
202 0 5 8 3809.32 254.3 
202 1 6 11 3811.98 211.346 
203 2 9 5 3812.16 244.266 
203 0 6 4 3403.3 22.2319 
203 0 4 4 3816.94 653.577 
203 1 4 9 4375.35 104.655 
203 1 5 6 3819.87 210.555 
204 2 6 4 3813.14 661.257 
204 2 5 4 3813.67 200.062 
204 0 8 3 3780.11 630.768 
204 1 10 7 3785.07 30.5001 
